sallow	 adj. 菜色
preprandial	 adj. 餐前的
tyrannical	 adj. 残暴的
sanguinary	 adj. 残暴的
procrustean	 adj. 残暴的, 强求一致的
atrocious	 adj. 残暴的, 凶恶的
inhumane	 adj. 残忍的
brute	 adj. 残忍的, 畜生般的
brutal	 adj. 残忍的, 兽性的
brilliant	 adj. 灿烂的, 闪耀的, 有才气的
precipitant	 adj. 仓促的
brash	 adj. 仓促的, 无礼的, 性急的, 傲慢的
pallid	 adj. 苍白的, 暗淡的
wan	 adj. 苍白的, 无血色的, 病态的, 暗淡的, 无力的
manipulative	 adj. 操作的, 操纵的, 控制的
graminaceous	 adj. 草(似),[植] 禾本的
herbaceous	 adj. 草本的, 似绿叶的
illusory	 adj. 产生幻觉的, 幻影的, 错觉的, 虚假的, 不牢靠的
obsequious	 adj. 谄媚的, 奉承的, 拍马屁的
rampant	 adj. 猖獗的, 蔓生的, 猛烈的, 狂暴的, 跛拱的
intestinal	 adj. 肠的, 肠内的, (疾病)侵袭肠的
haunting	 adj. 常浮现于脑海中的, 不易忘怀的
preternatural	 adj. 超自然的
ephemeral	 adj. 朝生暮死的, 短暂的, 短命的
derisive	 adj. 嘲笑的, 值得嘲笑的
sloppy	 adj. 潮湿的, 多阴雨的, 溅湿的, 溅污的, 肥大的
ingrained	 adj. 彻底的, 根深蒂固的, 生染的
staid	 adj. 沉静的
dreary	 adj. 沉闷的
atrabilious	 adj. 沉闷的, 疑心的
dissipated	 adj. 沉迷于酒色的, 消散的, 闲游浪荡的
taciturn	 adj. 沉默寡言的
reticent	 adj. 沉默寡言的
doting	 adj. 沉溺于爱的, 溺爱的
reflective	 adj. 沉思的
pensive	 adj. 沉思的
meditative	 adj. 沉思的, 爱思考的, 冥想的
imperturbable	 adj. 沉着的, 冷静的
ponderous	 adj. 沉重的, 笨重的, 冗长的, 沉闷的, (指问题等)呆板的
trite	 adj. 陈腐的
antiquated	 adj. 陈旧的
veridical	 adj. 诚实的
approbatory	 adj. 承认的, 认可的, 赞赏的
exurban	 adj. 城市远郊的
laboured	 adj. 吃力的, 谨慎的
oafish	 adj. 痴呆的, 畸形的
bovine	 adj. 迟钝的, 牛的, 似牛的, 耐心的
persistent	 adj. 持久稳固的
sustained	 adj. 持续不变的, 相同的
discalced	 adj. 赤脚的, 仅穿拖鞋的
unclad	 adj. 赤裸裸的, 没穿衣服的
fervent	 adj. 炽热的
impulsive	 adj. 冲动的
impetuous	 adj. 冲动的, 猛烈的, 激烈的
alluvial	 adj. 冲积的, 淤积的
sufficient	 adj. 充分的, 足够的
humid	 adj. 充满潮湿的, 湿润的, 多湿气的
replete	 adj. 充满的
spry	 adj. 充满生气的, 活泼的, 敏捷的美国Spry在线服务公司
ample	 adj. 充足的, 丰富的
idolatrous	 adj. 崇拜偶像的, 盲目崇拜的
stinking	 adj. 臭的, 烂醉的, 讨厌的
yielding	 adj. 出产的, 易弯曲的, 柔顺的, 屈从的, 易受影响的
nascent	 adj. 初生的
incipient	 adj. 初始的
culinary	 adj. 厨房的, 烹调用的, 厨房用的
tactile	 adj. 触觉的, 有触觉的, 能触知的
threadbare	 adj. 穿破旧衣服的, 俗套的
contagious	 adj. 传染性的, 会感染的
nautical	 adj. 船员的, 船舶的, 海上的, 航海的, 海军的
captious	 adj. 吹毛求疵的, 挑剔的
moribund	 adj. 垂死的
crestfallen	 adj. 垂头丧气的
perpendicular	 adj. 垂直的, 正交的
vertical	 adj. 垂直的, 直立的, 顶点的, [解]头顶的
vernal	 adj. 春天的, 春天发生的, 和煦的, 青春的
unalloyed	 adj. 纯粹的
seraphic	 adj. 纯洁的, 六翼天使的, 天使一般的
purebred	 adj. 纯种的
lexical	 adj. 词汇的
benevolent	 adj. 慈善的
subordinate	 adj. 次要的, 从属的, 下级的
piercing	 adj. 刺骨的, 刺穿的
nippy	 adj. 刺骨的, 凛冽的
cursory	 adj. 匆匆忙忙的, 粗略的, 草率的
slapdash	 adj. 匆促的
surly	 adj. 粗暴的, 乖戾的, 阴沉的, 无礼的, 板面孔的
rambunctious	 adj. 粗暴的, 骚乱的, 难控制的
lubber	 adj. 粗笨的, 笨拙的
scabrous	 adj. 粗糙的
ragged	 adj. 粗糙的
clodhopping	 adj. 粗鲁的, 不礼节的
sketchy	 adj. 粗略的
vulgar	 adj. 粗俗的, 庸俗的, 普通的, 通俗的, 本土的
loutish	 adj. 粗野的, 无礼的
churlish	 adj. 粗野的，脾气坏的，无礼的
soporific	 adj. 催眠的, 想睡的
hypnotic	 adj. 催眠的, 易被催眠的
slimsy	 adj. 脆弱的, 不结实的, 不耐穿的
verdant	 adj. 翠绿的, 青翠的, 生疏的, 没有经验的
dandified	 adj. 打扮得华丽的
swank	 adj. 打扮漂亮的
striking	 adj. 打击的, 显著的, 惊人的, 罢工的
audacious	 adj. 大胆的, 卤莽的, 大胆创新的
clamorous	 adj. 大喊大叫的
vociferous	 adj. 大声叫的, 喊叫的
undaunted	 adj. 大无畏的, 勇敢的
vicarious	 adj. 代理人的
ersatz	 adj. 代用的,合成的,假的,人造的
monaural	 adj. 单耳(听觉)的, 非立体声的
humdrum	 adj. 单调的
monotonous	 adj. 单调的, 无变化的
tedious	 adj. 单调乏味的, 沉闷的, 冗长乏味的
voluptuary	 adj. 耽于酒色的
timorous	 adj. 胆小的
bilious	 adj. 胆汁质的, 坏脾气的
limnetic	 adj. 淡水的
elastic	 adj. 弹性的
hapless	 adj. 倒霉的, 不幸的
retrograde	 adj. 倒退的
inverse	 adj. 倒转的, 反转的
ubiquitous	 adj. 到处存在的, (同时)普遍存在的
apologetic	 adj. 道歉的, 认错的, 辩护的
moralistic	 adj. 道学的, 说教的, 教训的
inspired	 adj. 得到灵感的, 有灵感的, 权威人士(或官方)授意的
tantamount	 adj. 等价
imbecile	 adj. 低能的, 愚笨的, 虚弱的
hostile	 adj. 敌对的, 敌方的
inimical	 adj. 敌意的
tellural	 adj. 地球的,地球上的,地球居民的
subterranean	 adj. 地下的
regal	 adj. 帝王的, 适于帝王的
subversive	 adj. 颠覆性的, 破坏性的
starchy	 adj. 淀粉的, 拘泥的, 浆硬的, 含淀粉的
byzantine	 adj. 东罗马帝国的, 拜占庭式的
dynamic	 adj. 动力的, 动力学的, 动态的
engaging	 adj. 动人的, 有魅力的, 迷人的
precipitous	 adj. 陡峭的, 急躁的
steep	 adj. 陡峭的, 险峻的, 急剧升降的, 不合理的
substantive	 adj. 独立存在的, 真实的, 有实质的, 大量的, 巨额的
gilded	 adj. 镀金的
demure	 adj. 端庄的
blocky	 adj. 短而结实的, 斑驳的
transitory	 adj. 短时间的
transient	 adj. 短暂的, 瞬时的
fugacious	 adj. 短暂的, 易逃逸的, 难捕捉的, 无常的
assertive	 adj. 断定的, 过分自信的
fitful	 adj. 断断续续的, 一阵阵的, 间歇的, 不定的, 不规则的
peremptory	 adj. 断然的, 专横的, 强制的
symmetrical	 adj. 对称的, 均匀的
opponent	 adj. 对立的, 对抗的
obtuse	 adj. 钝的, 圆头的, 愚蠢的, 迟钝的
flaggy	 adj. 多扁石的, 多菖蒲的
prolific	 adj. 多产的, 丰富的, 大量繁殖的
buggy	 adj. 多虫的, 臭虫成灾的, <俚>神经病的
prickly	 adj. 多刺的
officious	 adj. 多管闲事的, 非官方的, 非正式的
loquacious	 adj. 多话的, 饶舌的, 潺潺的
porous	 adj. 多孔渗水的
spiny	 adj. 多剌的, 剌状的
gnarled	 adj. 多瘤的, 粗糙的
hairy	 adj. 多毛的, 毛似的
hirsute	 adj. 多毛的, 有粗毛的
amorous	 adj. 多情的, 恋爱的, 表示爱情的
acidulous	 adj. 多少带酸味的, 不悦的
redundant	 adj. 多余的
superfluous	 adj. 多余的, 过剩的, 过量的
calamitous	 adj. 多灾难的, 不幸的
succulent	 adj. 多汁的, 多水分的, 多汁性的
miscreant	 adj. 堕落的, 卑劣的, 异端的
compendious	 adj. 扼要的, 简明的
vicious	 adj. 恶的, 不道德的, 恶意的, 刻毒的, 堕落的, 品性不端的, 有错误的
felonious	 adj. 恶毒的, 凶恶的, 极恶的, 重罪的
diabolical	 adj. 恶魔的
fiendish	 adj. 恶魔似的, 残忍的, 极坏的
malignant	 adj. 恶性的
auditory	 adj. 耳的, 听觉的
suggestible	 adj. 耳根软的, 可建议的, 容易受暗示影响的
luminous	 adj. 发光的, 明亮的
flaring	 adj. 发光的, 燃烧的, 引人注目的, 花哨的, 俗丽的
distraught	 adj. 发狂的
maniacal	 adj. 发狂的, 狂乱的
frenetic	 adj. 发狂的, 狂热的
huffy	 adj. 发怒的
febrile	 adj. 发烧的,热病的
inflamed	 adj. 发炎的；红肿的
vestigial	 adj. 发育不全的, 退化器官的
stuffy	 adj. 乏味的
statutory	 adj. 法令的, 法定的
forensic	 adj. 法院的, 适于法庭的, 公开辩论的
shoddy	 adj. 翻制的, 以次充好的, 假冒的
fretful	 adj. 烦燥的, 起波纹的, 焦躁的
exuberant	 adj. 繁茂的, 丰富的, 非凡的, (语言等)华而不实的
prosperous	 adj. 繁荣的
onerous	 adj. 繁重的, 费力的, 负有法律责任的
abnormal	 adj. 反常的, 变态的
ruminant	 adj. 反刍动物的, 沉思的
capricious	 adj. 反复无常的
whimsical	 adj. 反复无常的, 古怪的
recalcitrant	 adj. 反抗的, 反对的, 顽抗的
reflex	 adj. 反射的, 反省的, 反作用的, 优角的
reactionary	 adj. 反作用的, 反动的
balmy	 adj. 芳香的, 温和的, 止痛的, (空气)温和的
antiseptic	 adj. 防腐的, 杀菌的, 消过毒的
spindly	 adj. 纺锤形的, 细长的
profligate	 adj. 放荡的, 不检点的, 肆意挥霍的
dissolute	 adj. 放荡的, 风流的, 肆意挥霍的
licentious	 adj. 放肆的
impudent	 adj. 放肆无礼的, ,厚颜无耻的
laxative	 adj. 放松的
intemperate	 adj. 放纵的
volatile	 adj. 飞行的, 挥发性的, 可变的, 不稳定的, 轻快的, 爆炸性的
fleeting	 adj. 飞逝的；短暂的
nonviolent	 adj. 非暴力的
flagrant	 adj. 非常的, 不能容忍的, 恶名昭著的, 公然的
exultant	 adj. 非常高兴的, 欢跃的
hypersensitive	 adj. 非常敏感的, 敏感的
unstudied	 adj. 非娇揉造作的,未学过的,不懂的
immaterial	 adj. 非实质的
intransigent	 adj. 非妥协性的
incorporeal	 adj. 非物质的, 无实体的, 灵魂的, 无形体的
unprovoked	 adj. 非因触犯而发生的, 无缘无故的
heterodox	 adj. 非正统的, 异端的
corpulent	 adj. 肥大的, 肥胖的
fubsy	 adj. 肥胖的, 矮胖的
obese	 adj. 肥胖的, 肥大的
pursy	 adj. 肥胖的, 皱起的
fertile	 adj. 肥沃的, 富饶的, 能繁殖的
slanderous	 adj. 诽谤性的
scandalous	 adj. 诽谤性的
pulmonary	 adj. 肺部的
arduous	 adj. 费劲的, 辛勤的, 险峻的
respective	 adj. 分别的, 各自的
detached	 adj. 分开的, 分离的
redolent	 adj. 芬芳的
aromatic	 adj. 芬芳的
involute	 adj. 纷乱的, 复杂的
sepulchral	 adj. 坟墓的, 埋葬的
smashing	 adj. 粉碎性的, 猛烈的, 了不起的
strenuous	 adj. 奋发的, 使劲的, 紧张的, 热烈的, 艰辛发奋的
ireful	 adj. 忿怒的
indignant	 adj. 愤怒的, 愤慨的
cynical	 adj. 愤世嫉俗的
luxuriant	 adj. 丰产的, 丰富的, 肥沃的, 奢华的
plumpy	 adj. 丰满的
chubby	 adj. 丰满的, 圆胖的
trenchant	 adj. 锋利的
nipping	 adj. 锋利的, 刺骨的, 讥刺的
keen	 adj. 锋利的, 敏锐的, 敏捷的, 热心的, 渴望的
ingratiating	 adj. 逢迎的, 迷人的
sardonic	 adj. 讽刺的
sarcastic	 adj. 讽刺的
fawning	 adj. 奉承的
obedient	 adj. 服从的, 孝顺的
showy	 adj. 浮华的, (过分)艳丽的, 炫耀的, 卖弄的
foppish	 adj. 浮华的, 有纨绔习气的
bloated	 adj. 浮肿的, 发胀的, 傲慢的
eligible	 adj. 符合条件的, 合格的
subsidiary	 adj. 辅助的, 补充的
auxiliary	 adj. 辅助的, 补助的
septic	 adj. 腐败的, 败血病的, 脓毒性的
addled	 adj. 腐坏的, 混乱的
putrid	 adj. 腐烂的, <口>非常讨厌的
caustic	 adj. 腐蚀性的, 刻薄的
indebted	 adj. 负债的, 感恩的
resurgent	 adj. 复活的
intricate	 adj. 复杂的, 错综的, 难以理解的
parathyroid	 adj. 副甲状腺的
palatial	 adj. 富丽堂皇的
glamorous	 adj. 富有魅力的, 迷人的
compassionate	 adj. 富于同情心的
opulent	 adj. 富裕的, 丰富的, 丰饶的, 繁茂的
culpable	 adj. 该责备的, 有罪的, 不周到的
execrable	 adj. 该咒的, 可憎恨的, 讨厌的, 恶劣的, 坏透的
